CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,24/04/2020,131.0,5626.0,664.0,32.0,200.0
AR,24/04/2020,59.0,2278.0,243.0,19.0,120.0
AS,24/04/2020,10.0,1578.0,129.0,9.0,25.0
CB,24/04/2020,23.0,898.0,75.0,5.0,81.0
CE,24/04/2020,0.0,10.0,3.0,0.0,6.0
CL,24/04/2020,291.0,7167.0,499.0,29.0,163.0
CM,24/04/2020,175.0,8303.0,539.0,62.0,198.0
CN,24/04/2020,19.0,839.0,162.0,4.0,52.0
CT,24/04/2020,961.0,23679.0,2501.0,82.0,599.0
EX,24/04/2020,11.0,1379.0,106.0,5.0,133.0
GA,24/04/2020,137.0,2675.0,92.0,7.0,42.0
IB,24/04/2020,13.0,1020.0,165.0,5.0,24.0
MC,24/04/2020,8.0,624.0,101.0,2.0,23.0
MD,24/04/2020,569.0,7018.0,952.0,95.0,523.0
ML,24/04/2020,1.0,29.0,2.0,0.0,6.0
NC,24/04/2020,27.0,1890.0,129.0,9.0,109.0
PV,24/04/2020,134.0,6087.0,502.0,37.0,278.0
RI,24/04/2020,37.0,1328.0,82.0,5.0,29.0
VC,24/04/2020,71.0,4792.0,625.0,21.0,392.0
AN,25/04/2020,128.0,5610.0,638.0,25.0,140.0
AR,25/04/2020,55.0,2276.0,241.0,16.0,133.0
AS,25/04/2020,9.0,1588.0,128.0,9.0,25.0
CB,25/04/2020,27.0,810.0,69.0,4.0,94.0
CE,25/04/2020,0.0,10.0,3.0,0.0,6.0
CL,25/04/2020,293.0,7337.0,508.0,29.0,159.0
CM,25/04/2020,159.0,8297.0,546.0,59.0,208.0
CN,25/04/2020,18.0,826.0,162.0,4.0,45.0
CT,25/04/2020,1058.0,23651.0,2496.0,68.0,543.0
EX,25/04/2020,10.0,1354.0,106.0,5.0,142.0
GA,25/04/2020,136.0,2623.0,93.0,8.0,40.0
IB,25/04/2020,13.0,1017.0,165.0,4.0,27.0
MC,25/04/2020,8.0,624.0,97.0,2.0,25.0
MD,25/04/2020,534.0,6955.0,939.0,95.0,499.0
ML,25/04/2020,1.0,29.0,2.0,0.0,6.0
NC,25/04/2020,23.0,1886.0,128.0,10.0,114.0
PV,25/04/2020,134.0,6099.0,504.0,33.0,264.0
RI,25/04/2020,39.0,1329.0,82.0,5.0,29.0
VC,25/04/2020,55.0,4696.0,618.0,21.0,272.0
AN,26/04/2020,121.0,5617.0,638.0,19.0,146.0
AR,26/04/2020,59.0,2278.0,243.0,15.0,119.0
AS,26/04/2020,9.0,1583.0,128.0,7.0,21.0
CB,26/04/2020,27.0,762.0,67.0,5.0,74.0
CE,26/04/2020,0.0,10.0,3.0,0.0,6.0
CL,26/04/2020,299.0,7174.0,493.0,29.0,159.0
CM,26/04/2020,175.0,8303.0,539.0,59.0,244.0
CN,26/04/2020,19.0,852.0,164.0,4.0,44.0
CT,26/04/2020,1156.0,23694.0,2499.0,94.0,628.0
EX,26/04/2020,10.0,1354.0,106.0,5.0,131.0
GA,26/04/2020,140.0,2605.0,95.0,8.0,48.0
IB,26/04/2020,15.0,1023.0,165.0,4.0,26.0
MC,26/04/2020,8.0,624.0,97.0,2.0,23.0
MD,26/04/2020,515.0,9219.0,1149.0,147.0,768.0
ML,26/04/2020,1.0,26.0,2.0,0.0,5.0
NC,26/04/2020,23.0,1843.0,128.0,9.0,101.0
PV,26/04/2020,118.0,6102.0,503.0,27.0,225.0
RI,26/04/2020,40.0,1325.0,79.0,5.0,30.0
VC,26/04/2020,72.0,4641.0,570.0,16.0,241.0
AN,27/04/2020,121.0,5617.0,638.0,19.0,146.0
AR,27/04/2020,57.0,2276.0,241.0,15.0,128.0
AS,27/04/2020,9.0,1583.0,128.0,9.0,24.0
CB,27/04/2020,34.0,738.0,66.0,4.0,94.0
CE,27/04/2020,0.0,10.0,3.0,0.0,6.0
CL,27/04/2020,299.0,7164.0,489.0,28.0,156.0
CM,27/04/2020,196.0,8303.0,532.0,59.0,245.0
CN,27/04/2020,19.0,770.0,154.0,4.0,48.0
CT,27/04/2020,937.0,23646.0,2497.0,67.0,566.0
EX,27/04/2020,11.0,1367.0,106.0,4.0,133.0
GA,27/04/2020,139.0,2623.0,92.0,8.0,47.0
IB,27/04/2020,13.0,1020.0,166.0,4.0,22.0
MC,27/04/2020,8.0,624.0,97.0,2.0,25.0
