CCAA,FECHA,CASOS,Hospitalizados,UCI,Fallecidos,Recuperados
AN,16/04/2020,212.0,5087.0,629.0,37.0,382
AR,16/04/2020,95.0,1929.0,284.0,25.0,90
AS,16/04/2020,44.0,1369.0,114.0,6.0,73
CB,16/04/2020,25.0,834.0,74.0,7.0,110
CE,16/04/2020,2.0,9.0,4.0,0.0,10
CL,16/04/2020,641.0,6185.0,294.0,37.0,343
CM,16/04/2020,417.0,7865.0,489.0,60.0,357
CN,16/04/2020,21.0,754.0,150.0,3.0,109
CT,16/04/2020,964.0,19905.0,2201.0,165.0,1090
EX,16/04/2020,36.0,1149.0,105.0,17.0,85
GA,16/04/2020,141.0,2311.0,129.0,10.0,122
IB,16/04/2020,28.0,860.0,149.0,6.0,64
MC,16/04/2020,14.0,526.0,94.0,3.0,92
MD,16/04/2020,907.0,9864.0,1212.0,151.0,1553
ML,16/04/2020,1.0,42.0,3.0,0.0,32
NC,16/04/2020,113.0,1725.0,123.0,7.0,104
PV,16/04/2020,248.0,5680.0,454.0,48.0,370
RI,16/04/2020,70.0,1173.0,75.0,12.0,138
VC,16/04/2020,237.0,4344.0,592.0,30.0,440
AN,17/04/2020,223.0,5087.0,628.0,37.0,361
AR,17/04/2020,98.0,1880.0,280.0,22.0,87
AS,17/04/2020,58.0,1361.0,113.0,6.0,79
CB,17/04/2020,24.0,832.0,75.0,7.0,92
CE,17/04/2020,2.0,8.0,4.0,0.0,69
CL,17/04/2020,588.0,5954.0,292.0,48.0,349
CM,17/04/2020,384.0,7863.0,491.0,53.0,362
CN,17/04/2020,21.0,754.0,150.0,3.0,109
CT,17/04/2020,780.0,19884.0,2198.0,200.0,1151
EX,17/04/2020,35.0,1132.0,105.0,16.0,75
GA,17/04/2020,141.0,2282.0,135.0,8.0,125
IB,17/04/2020,31.0,818.0,147.0,6.0,94
MC,17/04/2020,10.0,513.0,95.0,3.0,121
MD,17/04/2020,923.0,9630.0,1200.0,153.0,1464
ML,17/04/2020,1.0,42.0,3.0,0.0,43
NC,17/04/2020,115.0,1718.0,124.0,7.0,105
PV,17/04/2020,268.0,5503.0,435.0,48.0,355
RI,17/04/2020,66.0,1171.0,74.0,9.0,137
VC,17/04/2020,233.0,4296.0,592.0,32.0,436
AN,18/04/2020,223.0,5073.0,628.0,37.0,352
AR,18/04/2020,93.0,1929.0,284.0,26.0,80
AS,18/04/2020,44.0,1338.0,112.0,7.0,74
CB,18/04/2020,24.0,843.0,74.0,7.0,118
CE,18/04/2020,2.0,6.0,4.0,0.0,15
CL,18/04/2020,572.0,5949.0,289.0,47.0,345
CM,18/04/2020,438.0,6615.0,473.0,57.0,354
CN,18/04/2020,22.0,717.0,149.0,3.0,113
CT,18/04/2020,744.0,19951.0,2195.0,153.0,920
EX,18/04/2020,39.0,1094.0,105.0,15.0,75
GA,18/04/2020,141.0,2291.0,130.0,8.0,127
IB,18/04/2020,31.0,859.0,149.0,5.0,69
MC,18/04/2020,14.0,514.0,92.0,3.0,107
MD,18/04/2020,932.0,9688.0,1205.0,156.0,1403
ML,18/04/2020,1.0,40.0,3.0,0.0,4
NC,18/04/2020,109.0,1716.0,124.0,8.0,103
PV,18/04/2020,265.0,5285.0,391.0,49.0,373
RI,18/04/2020,68.0,1170.0,74.0,9.0,120
VC,18/04/2020,209.0,4335.0,591.0,31.0,426
AN,19/04/2020,215.0,5076.0,624.0,28.0,322
AR,19/04/2020,90.0,1885.0,279.0,22.0,76
AS,19/04/2020,39.0,1315.0,111.0,7.0,50
CB,19/04/2020,24.0,838.0,74.0,7.0,67
CE,19/04/2020,2.0,6.0,4.0,0.0,20
CL,19/04/2020,581.0,5812.0,303.0,47.0,301
CM,19/04/2020,462.0,6654.0,473.0,61.0,376
CN,19/04/2020,17.0,748.0,150.0,3.0,100
CT,19/04/2020,694.0,19948.0,2183.0,146.0,979
EX,19/04/2020,39.0,1081.0,104.0,19.0,75
GA,19/04/2020,116.0,2016.0,121.0,8.0,116
IB,19/04/2020,27.0,856.0,149.0,4.0,72
MC,19/04/2020,14.0,514.0,91.0,4.0,122
MD,19/04/2020,808.0,9658.0,1170.0,156.0,1218
ML,19/04/2020,2.0,38.0,3.0,0.0,33
NC,19/04/2020,115.0,1705.0,124.0,6.0,112
PV,19/04/2020,228.0,5098.0,377.0,40.0,364
RI,19/04/2020,68.0,1121.0,74.0,10.0,138
VC,19/04/2020,204.0,4232.0,569.0,32.0,415
AN,20/04/2020,195.0,5068.0,621.0,35.0,300
AR,20/04/2020,90.0,1903.0,273.0,22.0,90
AS,20/04/2020,49.0,1329.0,112.0,7.0,45
CB,20/04/2020,25.0,837.0,74.0,8.0,78
CE,20/04/2020,1.0,6.0,4.0,0.0,26
CL,20/04/2020,570.0,5474.0,271.0,47.0,293
CM,20/04/2020,503.0,6630.0,474.0,54.0,459
CN,20/04/2020,16.0,756.0,150.0,3.0,148
CT,20/04/2020,860.0,19929.0,2206.0,202.0,1065
EX,20/04/2020,50.0,1081.0,98.0,19.0,87
GA,20/04/2020,119.0,2035.0,128.0,9.0,138
IB,20/04/2020,32.0,855.0,149.0,3.0,67
MC,20/04/2020,10.0,514.0,92.0,3.0,162
MD,20/04/2020,808.0,9685.0,1167.0,158.0,1348
ML,20/04/2020,1.0,38.0,3.0,0.0,51
NC,20/04/2020,114.0,1669.0,124.0,6.0,97
PV,20/04/2020,228.0,4967.0,369.0,40.0,389
RI,20/04/2020,66.0,1171.0,74.0,9.0,116
VC,20/04/2020,204.0,4232.0,574.0,32.0,418
AN,21/04/2020,225.0,5092.0,618.0,37.0,321
AR,21/04/2020,105.0,1896.0,276.0,23.0,95
AS,21/04/2020,46.0,1293.0,111.0,6.0,62
CB,21/04/2020,24.0,837.0,73.0,8.0,96
CE,21/04/2020,2.0,6.0,4.0,0.0,12
CL,21/04/2020,586.0,5949.0,306.0,47.0,331
CM,21/04/2020,514.0,6627.0,472.0,53.0,360
CN,21/04/2020,16.0,758.0,150.0,3.0,127
CT,21/04/2020,824.0,19952.0,2198.0,155.0,976
EX,21/04/2020,52.0,1076.0,92.0,19.0,77
GA,21/04/2020,119.0,2035.0,128.0,9.0,150
IB,21/04/2020,30.0,855.0,149.0,5.0,69
MC,21/04/2020,10.0,497.0,86.0,3.0,116
